x,y,z
-496.73526001,76.381141663,356.909729004
-496.672668457,77.337493896,356.624298096
-496.606781006,78.299064636,356.357788086
-496.538635254,79.265808105,356.111297607
-496.467559814,80.237800598,355.887268066
-496.393463135,81.214416504,355.685424805
-496.31652832,82.195152283,355.505859375
-496.238342285,83.179084778,355.345367432
-496.157562256,84.165794373,355.204376221
-496.073425293,85.154747009,355.082366943
-495.986968994,86.145950317,354.982116699
-495.893066406,87.138328552,354.902282715
-495.795471191,88.131843567,354.843933105
-495.699127197,89.126525879,354.8074646
-495.601623535,90.121673584,354.794403076
-495.504364014,91.116920471,354.79901123
-495.401672363,92.111305237,354.824584961
-495.295593262,93.10458374,354.870941162
-495.188995361,94.096725464,354.936523438
-495.079315186,95.087219238,355.019592285
-494.965057373,96.075263977,355.12310791
-494.845489502,97.059959412,355.24987793
-494.723846436,98.041954041,355.39440918
-494.604278564,99.021026611,355.559082031
-494.481109619,99.996383667,355.742095947
-494.354766846,100.967475891,355.944641113
-494.224395752,101.933013916,356.169891357
-494.09185791,102.893562317,356.414398193
-493.958282471,103.849029541,356.677520752
-493.819580078,104.798179626,356.960144043
-493.675415039,105.74041748,357.262481689
-493.532226563,106.67817688,357.578887939
-493.385101318,107.60799408,357.916229248
-493.235229492,108.530715942,358.271362305
-493.086029053,109.447967529,358.640655518
-492.932342529,110.357093811,359.027770996
-492.776000977,111.256469727,359.436035156
-492.618011475,112.146446228,359.863800049
-492.458862305,113.027290344,360.309661865
-492.297943115,113.897392273,360.775512695
-492.137756348,114.759422302,361.256378174
-491.972564697,115.611495972,361.753051758
-491.803955078,116.45110321,362.26940918
-491.63067627,117.277702332,362.804870605
-491.45300293,118.092193604,363.357177734
-491.275390625,118.897331238,363.923034668
-491.096191406,119.692672729,364.502105713
-490.913696289,120.475959778,365.096374512
-490.72946167,121.245681763,365.707580566
-490.541168213,122.002418518,366.333587646
-490.35534668,122.748435974,366.973052979
-490.168914795,123.482093811,367.626495361
-489.979278564,124.201660156,368.294525146
-489.790374756,124.907608032,368.977142334
-489.599639893,125.599105835,369.67388916
-489.406463623,126.271789551,370.388153076
-489.211791992,126.925590515,371.119354248
-489.015533447,127.563484192,371.864044189
-488.819488525,128.189254761,372.619018555
-488.624816895,128.802352905,373.384674072
-488.431671143,129.398544312,374.16394043
-488.234741211,129.976394653,374.955963135
-488.035217285,130.533584595,375.762023926
-487.830108643,131.074020386,376.578033447
-487.624359131,131.602523804,377.401672363
-487.419525146,132.117477417,378.234069824
-487.217315674,132.620941162,379.07409668
-487.014251709,133.106719971,379.924255371
-486.811431885,133.571060181,380.786376953
-486.602844238,134.007629395,381.661529541
-486.39151001,134.425476074,382.545135498
-486.177947998,134.828186035,383.435211182
-485.965026855,135.214111328,384.332824707
-485.754394531,135.581939697,385.238555908
-485.539306641,135.925613403,386.152679443
-485.320068359,136.252258301,387.072052002
-485.101989746,136.559692383,387.998291016
-484.888061523,136.854415894,388.929626465
-484.679901123,137.132644653,389.86730957
-484.475830078,137.393875122,390.810760498
-484.271026611,137.62651062,391.761505127
-484.062011719,137.842987061,392.715148926
-483.850616455,138.040512085,393.672393799
-483.633392334,138.214706421,394.632843018
-483.411987305,138.363754272,395.596557617
-483.18447876,138.484130859,396.562866211
-482.953796387,138.576950073,397.531463623
-482.732208252,138.66065979,398.502990723
-482.518554688,138.738357544,399.476806641
-482.301818848,138.791915894,400.451568604
-482.087493896,138.827468872,401.42767334
-481.873138428,138.845169067,402.404266357
-481.653320313,138.841522217,403.37979126
-481.428131104,138.813720703,404.35369873
-481.200927734,138.757537842,405.325927734
-480.97555542,138.679977417,406.297119141
-480.755615234,138.58404541,407.267913818
-480.538330078,138.473236084,408.237701416
-480.321746826,138.345809937,409.205627441
-480.101287842,138.195968628,410.169433594
-479.878570557,138.030914307,411.130249023
-479.652008057,137.845489502,412.086425781
-479.423156738,137.63722229,413.037353516
-479.195404053,137.407745361,413.983642578
-478.969299316,137.160446167,414.925842285
-478.739868164,136.89390564,415.861968994
-478.511047363,136.611938477,416.793701172
-478.286193848,136.319412231,417.723144531
-478.060974121,136.000701904,418.643859863
-477.834411621,135.659347534,419.556091309
-477.606719971,135.301452637,420.461669922
-477.378265381,134.926330566,421.360046387
-477.147857666,134.529907227,422.248718262
-476.919189453,134.114303589,423.129058838
-476.690460205,133.679138184,423.99987793
-476.461700439,133.223464966,424.860137939
-476.23248291,132.750061035,425.710632324
-476.002746582,132.257446289,426.549987793
-475.773406982,131.748718262,427.37979126
-475.543579102,131.224441528,428.199737549
-475.314971924,130.684906006,429.010070801
-475.085998535,130.125579834,429.806762695
-474.855895996,129.549545288,430.591125488
-474.624664307,128.959075928,431.364349365
-474.398803711,128.356018066,432.129394531
-474.171630859,127.7318573,432.876922607
-473.945892334,127.090705872,433.61038208
-473.718597412,126.435050964,434.330413818
-473.490753174,125.762405396,435.034423828
-473.266113281,125.074043274,435.724121094
-473.038269043,124.373092651,436.399963379
-472.811340332,123.659187317,437.062408447
-472.583831787,122.931373596,437.709350586
-472.354095459,122.190910339,438.3409729
-472.125030518,121.437263489,438.957061768
-471.899291992,120.669784546,439.557067871
-471.677459717,119.88760376,440.139282227
-471.457824707,119.092567444,440.704681396
-471.23550415,118.286590576,441.253295898
-471.013671875,117.468917847,441.784515381
-470.790740967,116.638389587,442.294921875
